Title,Genre,Year,Certification,Rating,Director,Actors
Rick and Morty,Animation,2013,TV-MA,9.1,,"Chris Parnell,Spencer Grammer,Sarah Chalke,Justin Roilan"
Castlevania: Nocturne,Animation,2023,TV-MA,7.6,,"Edward Bluemel,Thuso Mbedu,Pixie Davies,Richard Dorme"
Attack on Titan,Animation,2013,TV-MA,9.0,,"Josh Grelle,Bryce Papenbrook,Yûki Kaji,Yui Ishikaw"
The Simpsons,Animation,1989,TV-14,8.7,,"Dan Castellaneta,Nancy Cartwright,Julie Kavner,Harry Sheare"
PAW Patrol: The Mighty Movie,Animation,2023,PG,6.0,Cal Brunker,"Mckenna Grace,Taraji P. Henson,Marsai Martin,Christian Conver"
The Nightmare Before Christmas,Animation,1993,PG,7.9,Henry Selick,"Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hicke"
Spider-Man: Across the Spider-Verse,Animation,2023,PG,8.7,Joaquim Dos Santos,"Kemp Powers,Justin K. Thompson,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Vele"
Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,2023,PG,7.3,Jeff Rowe,"Kyler Spears,Micah Abbey,Shamon Brown Jr.,Nicolas Cantu,Brady Noo"
Star Wars: The Clone Wars,Animation,2008,TV-PG,8.4,,"Tom Kane,Dee Bradley Baker,Matt Lanter,James Arnold Taylo"
Family Guy,Animation,1999,TV-MA,8.2,,"Seth MacFarlane,Alex Borstein,Seth Green,Mila Kuni"
Adventure Time,Animation,2010,TV-PG,8.6,,"John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walc"
Star Wars Rebels,Animation,2014,TV-Y7-FV,8.1,,"Dave Filoni,Taylor Gray,Freddie Prinze Jr.,Vanessa Marshal"
Star Trek: Lower Decks,Animation,2020,TV-14,7.7,,"Tawny Newsome,Jack Quaid,Noël Wells,Eugene Corder"
Wish,Animation,2023,PG,,Chris Buck,"Fawn Veerasunthorn,Evan Peters,Chris Pine,Ariana DeBose,Alan Tudy"
Archer,Animation,2009,TV-MA,8.6,,"H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnel"
South Park,Animation,1997,TV-MA,8.7,,"Trey Parker,Matt Stone,Isaac Hayes,Mona Marshal"
Futurama,Animation,1999,TV-14,8.5,,"Billy West,John DiMaggio,Katey Sagal,Tress MacNeill"
Castlevania,Animation,2017,TV-MA,8.3,,"Richard Armitage,James Callis,Alejandra Reynoso,Theo Jame"
The Super Mario Bros. Movie,Animation,2023,PG,7.1,Aaron Horvath,"Michael Jelenic,Pierre Leduc,Fabien Polack,Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Blac"
Bob's Burgers,Animation,2011,TV-14,8.2,,"H. Jon Benjamin,Dan Mintz,Eugene Mirman,John Robert"
Adventure Time: Fionna & Cake,Animation,2023,TV-14,9.0,,"Madeleine Martin,Roz Ryan,Tom Kenny,Dee Bradley Bake"
Demon Slayer: Kimetsu no Yaiba,Animation,2019,TV-14,8.6,,"Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kit"
Coraline,Animation,2009,PG,7.7,Henry Selick,"Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunder"
Krapopolis,Animation,2023,TV-14,5.8,,"Richard Ayoade,Matt Berry,Pam Murphy,Duncan Trussel"
Invincible,Animation,2021,TV-MA,8.7,,"Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beet"
Bleach: Thousand-Year Blood War,Animation,2022,TV-MA,9.0,,"Johnny Yong Bosch,Masakazu Morita,Richard Epcar,Takayuki Sug"
BoJack Horseman,Animation,2014,TV-MA,8.8,,"Will Arnett,Amy Sedaris,Alison Brie,Aaron Pau"
Corpse Bride,Animation,2005,PG,7.4,Tim Burton,"Mike Johnson,Johnny Depp,Helena Bonham Carter,Emily Watson,Tracey Ullma"
Trolls Band Together,Animation,2023,PG,6.0,Walt Dohrn,"Tim Heitz,Justin Timberlake,Anna Kendrick,Zooey Deschanel,Daveed Digg"
"Love, Death & Robots",Animation,2019,TV-MA,8.4,,"Fred Tatasciore,Scott Whyte,Nolan North,Noshir Dala"
Bluey,Animation,2018,TV-Y,9.4,,"David McCormack,Melanie Zanetti,Ninthe van Schie,Brad Elliot"
Avatar: The Last Airbender,Animation,2005,TV-Y7-FV,9.3,,"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sen"
Arcane,Animation,2021,TV-14,9.0,,"Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Terri Dougla"
Spy x Family,Animation,2022,TV-14,8.4,,"Takuya Eguchi,Atsumi Tanezaki,Saori Hayami,Megan Shipma"
SpongeBob SquarePants,Animation,1999,TV-Y7,8.2,,"Tom Kenny,Rodger Bumpass,Bill Fagerbakke,Clancy Brow"
Over the Garden Wall,Animation,2014,TV-PG,8.8,,"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloy"
Once Upon a Studio,Animation,2023,G,8.8,Dan Abraham,"Trent Correy,Scott Adsit,Stan Alexander,Stephen J. Anderson,Tony Anselm"
American Dad!,Animation,2005,TV-MA,7.4,,"Seth MacFarlane,Wendy Schaal,Scott Grimes,Rachael MacFarlan"
Cars,Animation,2006,G,7.2,John Lasseter,"Joe Ranft,Owen Wilson,Bonnie Hunt,Paul Newman,Larry the Cable Gu"
The Boy and the Heron,Animation,2023,PG-13,7.6,Hayao Miyazaki,"Soma Santoki,Masaki Suda,Takuya Kimura,Aimyo"
Naruto: Shippuden,Animation,2007,TV-PG,8.7,,"Alexandre Crepet,Junko Takeuchi,Maile Flanagan,Kate Higgin"
Hotel Transylvania,Animation,2012,PG,7.0,Genndy Tartakovsky,"Adam Sandler,Kevin James,Andy Samberg,Selena Gome"
The Lion King,Animation,1994,G,8.5,Roger Allers,"Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldber"
Spider-Man: Into the Spider-Verse,Animation,2018,PG,8.4,Bob Persichetti,"Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Al"
Cyberpunk: Edgerunners,Animation,2022,TV-MA,8.3,,"Zach Aguilar,Kenichiro Ohashi,Emi Lo,Aoi Yûk"
Hunter x Hunter,Animation,2011,TV-14,9.0,,"Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Is"
Fantastic Mr. Fox,Animation,2009,PG,7.9,Wes Anderson,"George Clooney,Meryl Streep,Bill Murray,Jason Schwartzma"
Our Flag Means Death,Romance,2022,TV-MA,7.8,,"Rhys Darby,Joel Fry,Samson Kayo,Matthew Mahe"
Grey's Anatomy,Romance,2005,TV-14,7.6,,"Chandra Wilson,James Pickens Jr.,Ellen Pompeo,Justin Chamber"
Virgin River,Romance,2019,TV-14,7.4,,"Alexandra Breckenridge,Martin Henderson,Colin Lawrence,Tim Matheso"
Poor Things,Romance,2023,R,8.5,Yorgos Lanthimos,"Emma Stone,Mark Ruffalo,Willem Dafoe,Ramy Yousse"
No Hard Feelings,Romance,2023,R,6.4,Gene Stupnitsky,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti,Matthew Broderic"
After Everything,Romance,2023,R,4.6,Castille Landon,"Hero Fiennes Tiffin,Josephine Langford,Kefas Brand,Mimi Keen"
The Big Bang Theory,Romance,2007,TV-PG,8.2,,"Johnny Galecki,Jim Parsons,Kaley Cuoco,Simon Helber"
Friends,Romance,1994,TV-14,8.9,,"Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlan"
Naked Attraction,Romance,2016,A,5.4,,"Anna Richardson,Kobe Dziuba,Sarah Jayne Snow,Melissa Edde"
The Little Mermaid,Romance,2023,PG,7.2,Rob Marshall,"Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Barde"
Modern Family,Romance,2009,TV-PG,8.5,,"Ed O'Neill,Sofía Vergara,Julie Bowen,Ty Burrel"
Forgotten Love,Romance,2023,TV-MA,7.6,Michal Gazda,"Leszek Lichota,Maria Kowalska,Ignacy Liss,Anna Szymanczy"
Outlander,Romance,2014,TV-MA,8.4,,"Caitríona Balfe,Sam Heughan,Sophie Skelton,Richard Ranki"
House of the Dragon,Romance,2022,TV-MA,8.5,,"Rhys Ifans,Matt Smith,Graham McTavish,Fabien Franke"
True Blood,Romance,2008,TV-MA,7.9,,"Anna Paquin,Stephen Moyer,Sam Trammell,Ryan Kwante"
The Vampire Diaries,Romance,2009,TV-14,7.7,,"Nina Dobrev,Paul Wesley,Ian Somerhalder,Kat Graha"
Past Lives,Romance,2023,PG-13,8.0,Celine Song,"Greta Lee,Teo Yoo,John Magaro,Moon Seung-a"
Moonlighting,Romance,1985,TV-PG,7.6,,"Cybill Shepherd,Bruce Willis,Allyce Beasley,Curtis Armstron"
Love at First Sight,Romance,2023,PG-13,6.8,Vanessa Caswill,"Haley Lu Richardson,Ben Hardy,Rob Delaney,Katrina Nar"
Asteroid City,Romance,2023,PG-13,6.6,Wes Anderson,"Jason Schwartzman,Scarlett Johansson,Tom Hanks,Jeffrey Wrigh"
Vikings,Romance,2013,TV-MA,8.5,,"Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirs"
Buffy the Vampire Slayer,Romance,1997,TV-14,8.3,,"Sarah Michelle Gellar,Nicholas Brendon,Alyson Hannigan,Anthony Hea"
Castle,Romance,2009,TV-14,8.1,,"Nathan Fillion,Stana Katic,Susan Sullivan,Jon Huerta"
Practical Magic,Romance,1998,PG-13,6.3,Griffin Dunne,"Sandra Bullock,Nicole Kidman,Stockard Channing,Dianne Wies"
Once Upon a Time,Romance,2011,TV-PG,7.7,,"Ginnifer Goodwin,Jennifer Morrison,Lana Parrilla,Robert Carlyl"
Billy the Kid,Romance,2022,TV-MA,7.2,,"Tom Blyth,Daniel Webber,Sean Owen Roberts,Josh Crudda"
A Discovery of Witches,Romance,2018,TV-MA,7.8,,"Matthew Goode,Teresa Palmer,Alex Kingston,Gregg Chilingiria"
"Crazy, Stupid, Love.",Romance,2011,PG-13,7.4,Glenn Ficarra,"John Requa,Steve Carell,Ryan Gosling,Julianne Moore,Emma Ston"
Bridgerton,Romance,2020,TV-MA,7.4,,"Nicola Coughlan,Julie Andrews,Luke Newton,Claudia Jessi"
How I Met Your Mother,Romance,2005,TV-14,8.3,,"Josh Radnor,Jason Segel,Cobie Smulders,Neil Patrick Harri"
Love,Romance,2015,TV-MA,6.1,Gaspar Noé,"Aomi Muyock,Karl Glusman,Klara Kristin,Juan Saavedr"
Two and a Half Men,Romance,2003,TV-14,7.1,,"Jon Cryer,Ashton Kutcher,Angus T. Jones,Conchata Ferrel"
Spartacus,Romance,2010,TV-MA,8.5,,"Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriege"
You,Romance,2018,TV-MA,7.7,,"Penn Badgley,Victoria Pedretti,Tati Gabrielle,Ambyr Childer"
Gossip Girl,Romance,2007,TV-14,7.5,,"Blake Lively,Leighton Meester,Penn Badgley,Ed Westwic"
Titanic,Romance,1997,PG-13,7.9,James Cameron,"Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bate"
ER,Romance,1994,TV-14,7.9,,"Anthony Edwards,George Clooney,Julianna Margulies,Eriq La Sall"
Bram Stoker's Dracula,Romance,1992,R,7.4,Francis Ford Coppola,"Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeve"
One Tree Hill,Romance,2003,TV-14,7.8,,"Chad Michael Murray,James Lafferty,Hilarie Burton,Bethany Joy Len"
Sex and the City,Romance,1998,TV-MA,7.3,,"Sarah Jessica Parker,Kim Cattrall,Kristin Davis,Cynthia Nixo"
When Calls the Heart,Romance,2014,TV-G,7.9,,"Erin Krakow,Martin Cummins,Pascale Hutton,Jack Wagne"
New Girl,Romance,2011,TV-14,7.8,,"Zooey Deschanel,Jake Johnson,Max Greenfield,Hannah Simon"
She Came to Me,Romance,2023,R,6.4,Rebecca Miller,"Peter Dinklage,Anne Hathaway,Marisa Tomei,Evan Elliso"
Pride & Prejudice,Romance,2005,PG,7.8,Joe Wright,"Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherlan"
My Fault,Romance,2023,A,6.2,Domingo González,"Nicole Wallace,Gabriel Guevara,Marta Hazas,Iván Sánche"
Passages,Romance,2023,Unrated,6.9,Ira Sachs,"Franz Rogowski,Ben Whishaw,Adèle Exarchopoulos,Erwan Kepoa Fal"
Love Is in the Air,Romance,2023,TV-14,5.6,Adrian Powers,"Delta Goodrem,Joshua Sasse,Roy Billing,Steph Tisdel"
Downton Abbey,Romance,2010,TV-PG,8.7,,"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyl"
The Princess Bride,Romance,1987,PG,8.0,Rob Reiner,"Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarando"
Riverdale,Romance,2017,TV-14,6.5,,"Lili Reinhart,Camila Mendes,Cole Sprouse,K.J. Ap"
Haunted Mansion,Family,2023,PG-13,6.1,Justin Simien,"LaKeith Stanfield,Rosario Dawson,Owen Wilson,Tiffany Haddis"
Hocus Pocus,Family,1993,PG,6.9,Kenny Ortega,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Kat"
Casper,Family,1995,PG,6.1,Brad Silberling,"Bill Pullman,Christina Ricci,Cathy Moriarty,Eric Idl"
Elemental,Family,2023,PG,7.0,Peter Sohn,"Leah Lewis,Mamoudou Athie,Ronnie Del Carmen,Shila Omm"
Wonka,Family,2023,PG,,Paul King,"Timothée Chalamet,Olivia Colman,Hugh Grant,Keegan-Michael Ke"
PAW Patrol: The Mighty Movie,Family,2023,PG,6.0,Cal Brunker,"Mckenna Grace,Taraji P. Henson,Marsai Martin,Christian Conver"
The Nightmare Before Christmas,Family,1993,PG,7.9,Henry Selick,"Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hicke"
The Little Mermaid,Family,2023,PG,7.2,Rob Marshall,"Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Barde"
Spider-Man: Across the Spider-Verse,Family,2023,PG,8.7,Joaquim Dos Santos,"Kemp Powers,Justin K. Thompson,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Vele"
Teenage Mutant Ninja Turtles: Mutant Mayhem,Family,2023,PG,7.3,Jeff Rowe,"Kyler Spears,Micah Abbey,Shamon Brown Jr.,Nicolas Cantu,Brady Noo"
"3 Bed, 2 Bath, 1 Ghost",Family,2023,TV-G,7.3,Kevin Fair,"Julie Gonzalo,Chris McNally,Madeleine Arthur,Xavier Sotel"
The Haunted Mansion,Family,2003,PG,5.1,Rob Minkoff,"Eddie Murphy,Marsha Thomason,Jennifer Tilly,Terence Stam"
Harry Potter and the Sorcerer's Stone,Family,2001,PG,7.6,Chris Columbus,"Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smit"
Adventure Time,Family,2010,TV-PG,8.6,,"John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walc"
Star Wars Rebels,Family,2014,TV-Y7-FV,8.1,,"Dave Filoni,Taylor Gray,Freddie Prinze Jr.,Vanessa Marshal"
Wish,Family,2023,PG,,Chris Buck,"Fawn Veerasunthorn,Evan Peters,Chris Pine,Ariana DeBose,Alan Tudy"
The Super Mario Bros. Movie,Family,2023,PG,7.1,Aaron Horvath,"Michael Jelenic,Pierre Leduc,Fabien Polack,Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Blac"
Hocus Pocus 2,Family,2022,PG,6.0,Anne Fletcher,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Whitney Pea"
Coraline,Family,2009,PG,7.7,Henry Selick,"Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunder"
Halloweentown,Family,1998,TV-G,6.6,Duwayne Dunham,"Debbie Reynolds,Kimberly J. Brown,Judith Hoag,Joey Zimmerma"
Heartland,Family,2007,TV-PG,8.5,,"Amber Marshall,Michelle Morgan,Shaun Johnston,Chris Potte"
The Princess Bride,Family,1987,PG,8.0,Rob Reiner,"Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarando"
The Goonies,Family,1985,PG,7.7,Richard Donner,"Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldma"
Corpse Bride,Family,2005,PG,7.4,Tim Burton,"Mike Johnson,Johnny Depp,Helena Bonham Carter,Emily Watson,Tracey Ullma"
The Little Rascals,Family,1994,PG,6.3,Penelope Spheeris,"Travis Tedford,Bug Hall,Brittany Ashton Holmes,Kevin Jamal Wood"
Bridge to Terabithia,Family,2007,PG,7.2,Gabor Csupo,"Josh Hutcherson,AnnaSophia Robb,Zooey Deschanel,Robert Patric"
Harry Potter and the Goblet of Fire,Family,2005,PG-13,7.7,Mike Newell,"Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Syke"
Trolls Band Together,Family,2023,PG,6.0,Walt Dohrn,"Tim Heitz,Justin Timberlake,Anna Kendrick,Zooey Deschanel,Daveed Digg"
Bluey,Family,2018,TV-Y,9.4,,"David McCormack,Melanie Zanetti,Ninthe van Schie,Brad Elliot"
Home Improvement,Family,1991,TV-PG,7.2,,"Tim Allen,Earl Hindman,Taran Noah Smith,Zachery Ty Brya"
Scooby-Doo,Family,2002,PG,5.3,Raja Gosnell,"Matthew Lillard,Freddie Prinze Jr.,Sarah Michelle Gellar,Linda Cardellin"
Avatar: The Last Airbender,Family,2005,TV-Y7-FV,9.3,,"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sen"
Malcolm in the Middle,Family,2000,TV-PG,8.2,,"Frankie Muniz,Bryan Cranston,Justin Berfield,Erik Per Sulliva"
Dark Shadows,Family,2012,PG-13,6.2,Tim Burton,"Johnny Depp,Michelle Pfeiffer,Eva Green,Helena Bonham Carte"
"Are You There God? It's Me, Margaret.",Family,2023,PG-13,7.4,Kelly Fremon Craig,"Abby Ryder Fortson,Rachel McAdams,Kathy Bates,Benny Safdi"
Charlie and the Chocolate Factory,Family,2005,PG,6.7,Tim Burton,"Johnny Depp,Freddie Highmore,David Kelly,Helena Bonham Carte"
SpongeBob SquarePants,Family,1999,TV-Y7,8.2,,"Tom Kenny,Rodger Bumpass,Bill Fagerbakke,Clancy Brow"
Snow White,Family,2024,,,Marc Webb,"Gal Gadot,Rachel Zegler,Andrew Burnap,Ansu Kabi"
Willy Wonka & the Chocolate Factory,Family,1971,G,7.8,Mel Stuart,"Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnea"
Harry Potter and the Deathly Hallows: Part 2,Family,2011,PG-13,8.1,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambo"
Over the Garden Wall,Family,2014,TV-PG,8.8,,"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloy"
Once Upon a Studio,Family,2023,G,8.8,Dan Abraham,"Trent Correy,Scott Adsit,Stan Alexander,Stephen J. Anderson,Tony Anselm"
Harry Potter and the Prisoner of Azkaban,Family,2004,PG,7.9,Alfonso Cuarón,"Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffith"
Little House on the Prairie,Family,1974,TV-PG,7.5,,"Melissa Gilbert,Michael Landon,Karen Grassle,Rachel Lindsay Greenbus"
Cars,Family,2006,G,7.2,John Lasseter,"Joe Ranft,Owen Wilson,Bonnie Hunt,Paul Newman,Larry the Cable Gu"
Percy Jackson and the Olympians,Family,2023,TV-PG,,,"Walker Scobell,Leah Jeffries,Aryan Simhadri,Jason Mantzouka"
The Boy and the Heron,Family,2023,PG-13,7.6,Hayao Miyazaki,"Soma Santoki,Masaki Suda,Takuya Kimura,Aimyo"
The Nanny,Family,1993,TV-PG,7.1,,"Fran Drescher,Charles Shaughnessy,Daniel Davis,Lauren Lan"
Hotel Transylvania,Family,2012,PG,7.0,Genndy Tartakovsky,"Adam Sandler,Kevin James,Andy Samberg,Selena Gome"
The Lion King,Family,1994,G,8.5,Roger Allers,"Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldber"
